Age,Human,Shark,Tortoise,Lobster,Whale,Jellyfish
1,0.00036837,0.04,0.029,0.02,0.01,0.007
2,0.00022107,0.04,0.029,0.02,0.01,0.007
3,0.00016366,0.04,0.029,0.02,0.01,0.007
4,0.00013109,0.04,0.029,0.02,0.01,0.007
5,0.00012092,0.04,0.029,0.02,0.01,0.007
6,0.00011081,0.04,0.029,0.02,0.01,0.007
7,0.00010272,0.04,0.029,0.02,0.01,0.007
8,9.726e-05,0.04,0.029,0.02,0.01,0.007
9,0.00010295,0.04,0.029,0.02,0.01,0.007
10,0.00010716,0.04,0.029,0.02,0.01,0.007
11,0.0001167,0.04,0.029,0.02,0.01,0.007
12,0.000129,0.04,0.029,0.02,0.01,0.007
13,0.00014703,0.04,0.029,0.02,0.01,0.007
14,0.00018884,0.04,0.029,0.02,0.01,0.007
15,0.00024976,0.04,0.029,0.02,0.01,0.007
16,0.00032643,0.04,0.029,0.02,0.01,0.007
17,0.00041564,0.04,0.029,0.02,0.01,0.007
18,0.00059909,0.04,0.029,0.02,0.01,0.007
19,0.00067235,0.04,0.029,0.02,0.01,0.007
20,0.00075199,0.04,0.029,0.02,0.01,0.007
21,0.00087346,0.04,0.029,0.02,0.01,0.007
22,0.00089642,0.04,0.029,0.02,0.01,0.007
23,0.00095548,0.04,0.029,0.02,0.01,0.007
24,0.00099305,0.04,0.029,0.02,0.01,0.007
25,0.00107357,0.04,0.029,0.02,0.01,0.007
26,0.00112212,0.04,0.029,0.02,0.01,0.007
27,0.00116172,0.04,0.029,0.02,0.01,0.007
28,0.00121452,0.04,0.029,0.02,0.01,0.007
29,0.00127371,0.04,0.029,0.02,0.01,0.007
30,0.00134384,0.04,0.029,0.02,0.01,0.007
31,0.00137167,0.04,0.029,0.02,0.01,0.007
32,0.00139823,0.04,0.029,0.02,0.01,0.007
33,0.00147258,0.04,0.029,0.02,0.01,0.007
34,0.00152014,0.04,0.029,0.02,0.01,0.007
35,0.00158248,0.04,0.029,0.02,0.01,0.007
36,0.00163101,0.04,0.029,0.02,0.01,0.007
37,0.00171442,0.04,0.029,0.02,0.01,0.007
38,0.00180934,0.04,0.029,0.02,0.01,0.007
39,0.00190466,0.04,0.029,0.02,0.01,0.007
40,0.00202286,0.04,0.029,0.02,0.01,0.007
41,0.00202596,0.04,0.029,0.02,0.01,0.007
42,0.00213474,0.04,0.029,0.02,0.01,0.007
43,0.00221728,0.04,0.029,0.02,0.01,0.007
44,0.00236572,0.04,0.029,0.02,0.01,0.007
45,0.00259535,0.04,0.029,0.02,0.01,0.007
46,0.00280455,0.04,0.029,0.02,0.01,0.007
47,0.00305648,0.04,0.029,0.02,0.01,0.007
48,0.00329216,0.04,0.029,0.02,0.01,0.007
49,0.00359564,0.04,0.029,0.02,0.01,0.007
50,0.00390874,0.04,0.029,0.02,0.01,0.007
51,0.0042828,0.04,0.029,0.02,0.01,0.007
52,0.00465015,0.04,0.029,0.02,0.01,0.007
53,0.00500206,0.04,0.029,0.02,0.01,0.007
54,0.00560334,0.04,0.029,0.02,0.01,0.007
55,0.00618042,0.04,0.029,0.02,0.01,0.007
56,0.00663265,0.04,0.029,0.02,0.01,0.007
57,0.00724074,0.04,0.029,0.02,0.01,0.007
58,0.00767013,0.04,0.029,0.02,0.01,0.007
59,0.00833968,0.04,0.029,0.02,0.01,0.007
60,0.00890308,0.04,0.029,0.02,0.01,0.007
61,0.00963363,0.04,0.029,0.02,0.01,0.007
62,0.01031622,0.04,0.029,0.02,0.01,0.007
63,0.01097524,0.04,0.029,0.02,0.01,0.007
64,0.01160982,0.04,0.029,0.02,0.01,0.007
65,0.01231907,0.04,0.029,0.02,0.01,0.007
66,0.01316428,0.04,0.029,0.02,0.01,0.007
67,0.0139958,0.04,0.029,0.02,0.01,0.007
68,0.01474935,0.04,0.029,0.02,0.01,0.007
69,0.015837,0.04,0.029,0.02,0.01,0.007
70,0.01739823,0.04,0.029,0.02,0.01,0.007
71,0.01896362,0.04,0.029,0.02,0.01,0.007
72,0.02057308,0.04,0.029,0.02,0.01,0.007
73,0.02249703,0.04,0.029,0.02,0.01,0.007
74,0.02448222,0.04,0.029,0.02,0.01,0.007
75,0.02764231,0.04,0.029,0.02,0.01,0.007
76,0.03024995,0.04,0.029,0.02,0.01,0.007
77,0.03319717,0.04,0.029,0.02,0.01,0.007
78,0.03617022,0.04,0.029,0.02,0.01,0.007
79,0.04016578,0.04,0.029,0.02,0.01,0.007
80,0.04442828,0.04,0.029,0.02,0.01,0.007
81,0.04951796,0.04,0.029,0.02,0.01,0.007
82,0.05493183,0.04,0.029,0.02,0.01,0.007
83,0.06156939,0.04,0.029,0.02,0.01,0.007
84,0.0687901,0.04,0.029,0.02,0.01,0.007
85,0.07736138,0.04,0.029,0.02,0.01,0.007
86,0.08596583,0.04,0.029,0.02,0.01,0.007
87,0.10099527,0.04,0.029,0.02,0.01,0.007
88,0.11174646,0.04,0.029,0.02,0.01,0.007
89,0.12778542,0.04,0.029,0.02,0.01,0.007
90,0.1427421,0.04,0.029,0.02,0.01,0.007
91,0.16102809,0.04,0.029,0.02,0.01,0.007
92,0.18076823,0.04,0.029,0.02,0.01,0.007
93,0.20217276,0.04,0.029,0.02,0.01,0.007
94,0.22730194,0.04,0.029,0.02,0.01,0.007
95,0.25045548,0.04,0.029,0.02,0.01,0.007
96,0.27748635,0.04,0.029,0.02,0.01,0.007
97,0.30625181,0.04,0.029,0.02,0.01,0.007
98,0.33685001,0.04,0.029,0.02,0.01,0.007
99,0.36903249,0.04,0.029,0.02,0.01,0.007
100,,0.04,0.029,0.02,0.01,0.007
101,,0.04,0.029,0.02,0.01,0.007
102,,0.04,0.029,0.02,0.01,0.007
103,,0.04,0.029,0.02,0.01,0.007
104,,0.04,0.029,0.02,0.01,0.007
105,,0.04,0.029,0.02,0.01,0.007
106,,0.04,0.029,0.02,0.01,0.007
107,,0.04,0.029,0.02,0.01,0.007
108,,0.04,0.029,0.02,0.01,0.007
109,,0.04,0.029,0.02,0.01,0.007
110,,0.04,0.029,0.02,0.01,0.007
111,,0.04,0.029,0.02,0.01,0.007
112,,0.04,0.029,0.02,0.01,0.007
113,,0.04,0.029,0.02,0.01,0.007
114,,0.04,0.029,0.02,0.01,0.007
115,,0.04,0.029,0.02,0.01,0.007
116,,0.04,0.029,0.02,0.01,0.007
117,,0.04,0.029,0.02,0.01,0.007
118,,0.04,0.029,0.02,0.01,0.007
119,,0.04,0.029,0.02,0.01,0.007
120,,0.04,0.029,0.02,0.01,0.007
121,,0.04,0.029,0.02,0.01,0.007
122,,0.04,0.029,0.02,0.01,0.007
123,,0.04,0.029,0.02,0.01,0.007
124,,0.04,0.029,0.02,0.01,0.007
125,,0.04,0.029,0.02,0.01,0.007
126,,0.04,0.029,0.02,0.01,0.007
127,,0.04,0.029,0.02,0.01,0.007
128,,0.04,0.029,0.02,0.01,0.007
129,,0.04,0.029,0.02,0.01,0.007
130,,0.04,0.029,0.02,0.01,0.007
131,,0.04,0.029,0.02,0.01,0.007
132,,0.04,0.029,0.02,0.01,0.007
133,,0.04,0.029,0.02,0.01,0.007
134,,0.04,0.029,0.02,0.01,0.007
135,,0.04,0.029,0.02,0.01,0.007
136,,0.04,0.029,0.02,0.01,0.007
137,,0.04,0.029,0.02,0.01,0.007
138,,0.04,0.029,0.02,0.01,0.007
139,,0.04,0.029,0.02,0.01,0.007
140,,0.04,0.029,0.02,0.01,0.007
141,,0.04,0.029,0.02,0.01,0.007
142,,0.04,0.029,0.02,0.01,0.007
143,,0.04,0.029,0.02,0.01,0.007
144,,0.04,0.029,0.02,0.01,0.007
145,,0.04,0.029,0.02,0.01,0.007
146,,0.04,0.029,0.02,0.01,0.007
147,,0.04,0.029,0.02,0.01,0.007
148,,0.04,0.029,0.02,0.01,0.007
149,,0.04,0.029,0.02,0.01,0.007
150,,0.04,0.029,0.02,0.01,0.007
151,,0.04,0.029,0.02,0.01,0.007
152,,0.04,0.029,0.02,0.01,0.007
153,,0.04,0.029,0.02,0.01,0.007
154,,0.04,0.029,0.02,0.01,0.007
155,,0.04,0.029,0.02,0.01,0.007
156,,0.04,0.029,0.02,0.01,0.007
157,,0.04,0.029,0.02,0.01,0.007
158,,0.04,0.029,0.02,0.01,0.007
159,,0.04,0.029,0.02,0.01,0.007
160,,0.04,0.029,0.02,0.01,0.007
161,,0.04,0.029,0.02,0.01,0.007
162,,0.04,0.029,0.02,0.01,0.007
163,,0.04,0.029,0.02,0.01,0.007
164,,0.04,0.029,0.02,0.01,0.007
165,,0.04,0.029,0.02,0.01,0.007
166,,0.04,0.029,0.02,0.01,0.007
167,,0.04,0.029,0.02,0.01,0.007
168,,0.04,0.029,0.02,0.01,0.007
169,,0.04,0.029,0.02,0.01,0.007
170,,0.04,0.029,0.02,0.01,0.007
171,,0.04,0.029,0.02,0.01,0.007
172,,0.04,0.029,0.02,0.01,0.007
173,,0.04,0.029,0.02,0.01,0.007
174,,0.04,0.029,0.02,0.01,0.007
175,,0.04,0.029,0.02,0.01,0.007
176,,0.04,0.029,0.02,0.01,0.007
177,,0.04,0.029,0.02,0.01,0.007
178,,0.04,0.029,0.02,0.01,0.007
179,,0.04,0.029,0.02,0.01,0.007
180,,0.04,0.029,0.02,0.01,0.007
181,,0.04,0.029,0.02,0.01,0.007
182,,0.04,0.029,0.02,0.01,0.007
183,,0.04,0.029,0.02,0.01,0.007
184,,0.04,0.029,0.02,0.01,0.007
185,,0.04,0.029,0.02,0.01,0.007
186,,0.04,0.029,0.02,0.01,0.007
187,,0.04,0.029,0.02,0.01,0.007
188,,0.04,0.029,0.02,0.01,0.007
189,,0.04,0.029,0.02,0.01,0.007
190,,0.04,0.029,0.02,0.01,0.007
191,,0.04,0.029,0.02,0.01,0.007
192,,0.04,0.029,0.02,0.01,0.007
193,,0.04,0.029,0.02,0.01,0.007
194,,0.04,0.029,0.02,0.01,0.007
195,,0.04,0.029,0.02,0.01,0.007
196,,0.04,0.029,0.02,0.01,0.007
197,,0.04,0.029,0.02,0.01,0.007
198,,0.04,0.029,0.02,0.01,0.007
199,,0.04,0.029,0.02,0.01,0.007
200,,0.04,0.029,0.02,0.01,0.007
