year,birth_rates_hst,death_rates_hst
1950,23.981,9.596
1951,24.352,9.603
1952,24.561,9.509
1953,24.539,9.436
1954,24.87,9.027
1955,24.638,9.101
1956,24.905,9.13
1957,24.991,9.331
1958,24.944,9.22
1959,24.552,9.072
1960,24.246,9.23
1961,23.866,9.044
1962,22.86,9.237
1963,22.049,9.442
1964,21.397,9.275
1965,19.908,9.339
1966,18.896,9.45
1967,18.162,9.328
1968,17.878,9.656
1969,18.258,9.536
1970,18.74,9.436
1971,17.67,9.362
1972,16.057,9.4
1973,15.357,9.337
1974,15.304,9.061
1975,15.102,8.767
1976,15.081,8.751
1977,15.631,8.605
1978,15.6,8.63
1979,16.059,8.471
1980,16.293,8.719
1981,16.192,8.587
1982,16.227,8.495
1983,15.904,8.606
1984,15.8,8.615
1985,15.905,8.741
1986,15.723,8.741
1987,15.801,8.742
1988,16.039,8.854
1989,16.346,8.698
1990,16.466,8.597
1991,16.043,8.575
1992,15.602,8.489
1993,15.116,8.741
1994,14.713,8.683
1995,14.336,8.711
1996,14.119,8.631
1997,13.922,8.549
1998,13.942,8.542
1999,13.892,8.655
2000,14.056,8.611
2001,13.826,8.558
2002,13.671,8.575
2003,13.74,8.508
2004,13.712,8.265
2005,13.714,8.36
2006,13.991,8.21
2007,14.023,8.119
2008,13.719,8.204
2009,13.275,8.015
2010,12.791,8.044
2011,12.552,8.128
2012,12.433,8.096
2013,12.28,8.157
2014,12.331,8.144
2015,12.211,8.303
2016,12.008,8.302
2017,11.657,8.416
2018,11.389,8.412
2019,11.169,8.415
2020,10.73,9.97
2021,10.822,10.268
2022,10.981,9.332
2023,10.648,8.663
